ts,open,high,low,close,volume
1782219600000,1654.54,1655.0,1647.48,1649.19,9277.8492
1782221400000,1649.2,1664.13,1645.52,1662.83,8910.7904
1782223200000,1662.82,1670.44,1658.04,1662.2,6032.4295
1782225000000,1662.2,1672.0,1659.84,1662.1,5868.0086
1782226800000,1662.1,1663.39,1651.77,1654.02,4455.4332
1782228600000,1654.02,1660.92,1651.39,1659.78,5526.1163
1782230400000,1659.78,1673.89,1656.99,1662.14,13558.165
1782232200000,1662.13,1663.06,1658.48,1659.35,3195.122
1782234000000,1659.34,1663.46,1655.34,1662.8,3300.5436
1782235800000,1662.81,1664.87,1654.67,1656.85,2132.6326
1782237600000,1656.86,1660.64,1655.2,1657.67,4524.8757
1782239400000,1657.67,1657.67,1650.0,1655.53,4712.7029
1782241200000,1655.53,1661.92,1655.47,1661.92,3402.1613
1782243000000,1661.92,1663.97,1657.38,1662.58,3855.9137
1782244800000,1662.57,1667.64,1662.37,1664.28,3382.3083
1782246600000,1664.28,1664.32,1661.42,1664.13,2042.923
1782248400000,1664.12,1667.84,1663.52,1666.79,1908.3272
1782250200000,1666.8,1668.37,1665.64,1666.75,1976.9465
1782252000000,1666.74,1672.92,1664.13,1665.34,2923.76
1782253800000,1665.34,1666.42,1663.0,1664.67,1453.303
1782255600000,1664.67,1665.74,1660.27,1664.13,2952.522
1782257400000,1664.14,1669.55,1662.15,1667.13,2196.3648
1782259200000,1667.13,1673.11,1666.75,1668.78,2513.1681
1782261000000,1668.78,1674.72,1667.51,1671.37,2157.5797
1782262800000,1671.37,1672.96,1666.12,1671.39,2484.0727
1782264600000,1671.39,1680.46,1671.39,1672.71,4409.008
1782266400000,1672.71,1673.62,1664.98,1667.79,2279.98
1782268200000,1667.8,1669.5,1663.53,1664.03,2284.5259
1782270000000,1664.03,1665.95,1658.18,1664.17,4401.5727
1782271800000,1664.16,1670.09,1664.16,1666.67,1860.5973
1782273600000,1666.67,1667.55,1658.22,1659.58,2459.6635
1782275400000,1659.58,1671.01,1659.56,1669.0,3953.5452
1782277200000,1669.0,1673.39,1667.8,1673.27,2023.7177
1782279000000,1673.27,1679.57,1672.51,1674.48,4595.1418
1782280800000,1674.48,1676.99,1670.54,1675.22,3215.2731
1782282600000,1675.23,1677.0,1672.79,1674.89,1823.195
1782284400000,1674.89,1678.53,1672.93,1673.41,3043.5157
1782286200000,1673.4,1675.78,1670.94,1673.12,3290.4474
1782288000000,1673.13,1674.48,1669.23,1670.38,3023.5571
1782289800000,1670.38,1675.2,1670.0,1673.28,2548.0633
1782291600000,1673.28,1673.38,1667.51,1667.65,3315.2459
1782293400000,1667.65,1668.61,1665.29,1667.15,2838.6173
1782295200000,1667.14,1667.81,1662.88,1665.67,4336.4297
1782297000000,1665.67,1668.0,1663.15,1663.69,3054.2098
