series,cond,entry,f,sl,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,sig_maker
SOLUSDT-30m,XLtrend,PB,1.0,low,737,-10.05,-3.05,-7.3,1.9,0.152,False
SOLUSDT-30m,loud,PB,1.0,mid,2361,-12.46,-5.46,-6.9,-3.8,0.097,False
SOLUSDT-30m,uwd10,PB,1.0,mid,1914,-11.9,-4.9,-6.3,-3.3,0.063,False
SOLUSDT-30m,uwd910,PB,1.0,mid,3747,-12.52,-5.52,-6.5,-4.5,0.078,False
SOLUSDT-30m,prevBull,PB,1.0,mid,3161,-12.0,-5.0,-6.1,-3.8,0.102,False
SOLUSDT-30m,smaAbove,PB,1.0,mid,3430,-12.24,-5.24,-6.2,-4.2,0.093,False
SOLUSDT-30m,trendHi,PB,1.0,mid,2504,-11.89,-4.89,-6.2,-3.6,0.095,False
SOLUSDT-30m,XL,PB,1.0,mid,1505,-12.76,-5.76,-7.7,-3.7,0.077,False
SOLUSDT-30m,XLtrend,PB,1.0,mid,737,-12.25,-5.25,-7.8,-2.3,0.076,False
SOLUSDT-30m,loud,PB,1.5,low,2361,-12.71,-5.71,-8.2,-3.0,0.142,False
SOLUSDT-30m,uwd10,PB,1.5,low,1914,-12.38,-5.38,-7.8,-2.8,0.098,False
SOLUSDT-30m,uwd910,PB,1.5,low,3747,-11.92,-4.92,-6.5,-3.3,0.129,False
SOLUSDT-30m,prevBull,PB,1.5,low,3161,-9.71,-2.71,-4.7,-0.6,0.168,False
SOLUSDT-30m,smaAbove,PB,1.5,low,3430,-10.87,-3.87,-5.5,-2.2,0.154,False
SOLUSDT-30m,trendHi,PB,1.5,low,2504,-10.07,-3.07,-5.3,-0.9,0.155,False
SOLUSDT-30m,XL,PB,1.5,low,1505,-12.52,-5.52,-8.8,-2.1,0.122,False
SOLUSDT-30m,XLtrend,PB,1.5,low,737,-10.21,-3.21,-7.6,1.8,0.123,False
SOLUSDT-30m,loud,PB,1.5,mid,2361,-12.05,-5.05,-6.8,-3.1,0.077,False
SOLUSDT-30m,uwd10,PB,1.5,mid,1914,-11.45,-4.45,-6.2,-2.4,0.051,False
SOLUSDT-30m,uwd910,PB,1.5,mid,3747,-11.98,-4.98,-6.1,-3.8,0.064,False
SOLUSDT-30m,prevBull,PB,1.5,mid,3161,-11.3,-4.3,-5.6,-2.8,0.087,False
SOLUSDT-30m,smaAbove,PB,1.5,mid,3430,-11.7,-4.7,-5.8,-3.5,0.078,False
SOLUSDT-30m,trendHi,PB,1.5,mid,2504,-11.16,-4.16,-5.7,-2.6,0.081,False
SOLUSDT-30m,XL,PB,1.5,mid,1505,-12.3,-5.3,-7.6,-2.7,0.061,False
SOLUSDT-30m,XLtrend,PB,1.5,mid,737,-12.28,-5.28,-8.1,-2.3,0.061,False
SOLUSDT-1h,loud,MKT,1.0,low,1347,-29.84,-22.84,-31.2,-14.4,0.428,False
SOLUSDT-1h,uwd10,MKT,1.0,low,998,-22.13,-15.13,-22.5,-7.7,0.353,False
SOLUSDT-1h,uwd910,MKT,1.0,low,1996,-26.58,-19.58,-25.2,-14.1,0.38,False
SOLUSDT-1h,prevBull,MKT,1.0,low,1705,-29.6,-22.6,-28.4,-16.8,0.412,False
SOLUSDT-1h,smaAbove,MKT,1.0,low,1880,-27.87,-20.87,-26.4,-15.9,0.429,False
SOLUSDT-1h,trendHi,MKT,1.0,low,1384,-30.06,-23.06,-29.7,-16.6,0.413,False
SOLUSDT-1h,XL,MKT,1.0,low,809,-24.63,-17.63,-29.5,-5.7,0.383,False
SOLUSDT-1h,XLtrend,MKT,1.0,low,391,-14.17,-7.17,-23.9,9.5,0.394,False
SOLUSDT-1h,loud,MKT,1.0,mid,1347,-28.24,-21.24,-29.4,-13.2,0.396,False
SOLUSDT-1h,uwd10,MKT,1.0,mid,998,-23.04,-16.04,-23.0,-9.0,0.322,False
SOLUSDT-1h,uwd910,MKT,1.0,mid,1996,-26.05,-19.05,-24.3,-13.9,0.351,False
SOLUSDT-1h,prevBull,MKT,1.0,mid,1705,-28.87,-21.87,-27.3,-16.2,0.378,False
SOLUSDT-1h,smaAbove,MKT,1.0,mid,1880,-27.01,-20.01,-25.2,-15.0,0.393,False
SOLUSDT-1h,trendHi,MKT,1.0,mid,1384,-29.1,-22.1,-28.4,-16.0,0.38,False
SOLUSDT-1h,XL,MKT,1.0,mid,809,-23.66,-16.66,-28.2,-5.3,0.355,False
SOLUSDT-1h,XLtrend,MKT,1.0,mid,391,-13.02,-6.02,-21.9,9.8,0.371,False
SOLUSDT-1h,loud,MKT,1.5,low,1347,-24.73,-17.73,-27.0,-7.9,0.366,False
SOLUSDT-1h,uwd10,MKT,1.5,low,998,-16.95,-9.95,-18.1,-1.5,0.305,False
SOLUSDT-1h,uwd910,MKT,1.5,low,1996,-20.34,-13.34,-19.8,-7.1,0.336,False
SOLUSDT-1h,prevBull,MKT,1.5,low,1705,-24.3,-17.3,-23.8,-10.8,0.366,False
SOLUSDT-1h,smaAbove,MKT,1.5,low,1880,-21.68,-14.68,-20.9,-8.5,0.385,False
SOLUSDT-1h,trendHi,MKT,1.5,low,1384,-23.16,-16.16,-24.1,-8.9,0.368,False
SOLUSDT-1h,XL,MKT,1.5,low,809,-18.35,-11.35,-25.3,2.4,0.325,False
