series,cond,n,hit2,hitH,e2,med_t,med_nb,med_mae,r24_mean,delta_hitH,q
ETHUSDT-1h,volq=3,665,0.48872180451127817,0.9157894736842105,0.8842105263157894,2,0.0,42.03125597034828,20.631106765194104,-0.010233808328557026,0.4212
ETHUSDT-1h,volq=4,665,0.39398496240601505,0.8676691729323308,0.8090225563909774,3,0.0,47.21425319966587,43.38460745946492,-0.07037063179917502,0.0
ETHUSDT-1h,volq_ge=2,1960,0.48316326530612247,0.9051020408163265,0.8678571428571429,2,0.0,38.44587759414339,22.113408416307,-0.045921350996539045,0.0
ETHUSDT-1h,volq_ge=3,1330,0.4413533834586466,0.8917293233082707,0.8466165413533835,3,0.0,43.8270588558089,25.798914244841292,-0.05371612213717469,0.0
ETHUSDT-1h,typ=1,2579,0.5281116711903838,0.9193485847227607,0.8879410624272974,2,0.0,32.476910946124875,19.240861683507724,-0.020571308468160465,0.0897
ETHUSDT-1h,typ=2,749,0.6101468624833111,0.9399198931909212,0.9158878504672897,2,0.0,32.536140728641435,20.854942572339258,0.020571308468160465,0.0897
ETHUSDT-1h,rng_q=0,782,0.6585677749360613,0.9565217391304348,0.9450127877237852,1,0.0,25.689388681459658,7.088327451105519,0.04253902114143249,0.0006
ETHUSDT-1h,rng_q=1,692,0.6213872832369942,0.9407514450867052,0.9205202312138728,2,0.0,28.492751372370886,11.337520754031504,0.02117633127790397,0.0897
ETHUSDT-1h,rng_q=2,668,0.5688622754491018,0.9326347305389222,0.9086826347305389,2,0.0,30.412386765846204,8.03792315998178,0.010830219260726692,0.4026
ETHUSDT-1h,rng_q=3,603,0.4709784411276949,0.9270315091210614,0.8938640132669984,2,0.0,41.178147905869615,32.68343575094534,0.003728756827483415,0.7768
ETHUSDT-1h,rng_q=4,583,0.3602058319039451,0.8473413379073756,0.7787307032590052,3,0.0,47.730593970813175,37.452247277827055,-0.09291367120009253,0.0
ETHUSDT-1h,reg=1,1858,0.5306781485468245,0.9149623250807319,0.8805166846071044,2,0.0,30.16601186255181,0.46047646851798896,-0.020411824579132043,0.0591
ETHUSDT-1h,reg=2,1444,0.5630193905817175,0.9342105263157895,0.909972299168975,2,0.0,35.5252822044706,35.6179456665726,0.018074645211755502,0.0896
ETHUSDT-1h,C1_wick8_trend_up,1251,0.5027977617905676,0.9112709832134293,0.8800959232613909,2,0.0,37.85959253377037,18.559849953603102,-0.02036117855835695,
ETHUSDT-1h,C2_wick8_sma_above,1783,0.5081323611890073,0.9130678631519911,0.8839035333707235,2,0.0,33.6974163621347,28.640551919164324,-0.0235017161360348,
ETHUSDT-1h,C3_wick8_quietvol,1207,0.623860811930406,0.947804473902237,0.9304059652029826,2,0.0,25.045996854308697,9.406015862557421,0.03738486051232659,
ETHUSDT-1h,C6_wick910_dipbuy,726,0.5385674931129476,0.9242424242424242,0.8911845730027548,2,0.0,33.047756823950785,-6.138005937855635,0.0003377355414250216,
ICPUSDT-15m,uwd=7,1458,0.6262002743484225,0.9190672153635117,0.8998628257887518,1,0.0,27.119432030814878,-16.068044841185767,0.016326893484433835,0.0566
ICPUSDT-15m,uwd=8,3751,0.6278325779792056,0.9189549453479072,0.8904292188749666,1,0.0,27.01485817199562,2.43157383104416,0.020237275276183686,0.0008
ICPUSDT-15m,uwd=9,3891,0.5525571832433822,0.9028527370855821,0.8709843227961963,2,0.0,29.24926876828046,2.6778244244355736,-0.0024661770614052836,0.6803
ICPUSDT-15m,uwd=10,3853,0.47910718920321826,0.8868414222683623,0.8390864261614327,2,0.0,31.02735003447397,2.6846236395665732,-0.0252464898195498,0.0
ICPUSDT-15m,uwd_ge=8,11495,0.5525010874293171,0.9027403218790778,0.8666376685515441,2,0.0,29.007528144208727,4.712261094415771,-0.016326893484433835,0.0566
ICPUSDT-15m,uwd_ge=9,7744,0.5160123966942148,0.8948863636363636,0.8551136363636364,2,0.0,30.188556343337787,3.4856897006146146,-0.02410000610830898,0.0
ICPUSDT-15m,uwd_ge=10,3853,0.47910718920321826,0.8868414222683623,0.8390864261614327,2,0.0,31.02735003447397,2.6846236395665732,-0.0252464898195498,0.0
ICPUSDT-15m,trend=0,2623,0.5810141059855127,0.9233701868089973,0.8890583301563095,2,0.0,33.52493497318604,12.143431999895492,0.02356379765120442,0.0005
ICPUSDT-15m,trend=1,2590,0.5648648648648649,0.9142857142857143,0.8884169884169885,2,0.0,24.029081443201342,-1.3407132206271415,0.012133827766366623,0.0698
ICPUSDT-15m,trend=2,2550,0.5498039215686275,0.9007843137254902,0.8670588235294118,2,0.0,24.064756070881913,5.408938664644369,-0.0047237128053182476,0.5093
