entry,f,cond,exit,K,cost_cfg,N,net,ci_lo,ci_hi,wr,pval
PB,1.5,quiet,TIME,48,MKT_MKT,307,17.97,-43.7,69.1,0.925,0.53242
PB,1.5,uwd78,NOSL,0,PB_PB,290,-16.64,-77.9,40.2,0.879,0.290358
PB,1.5,uwd78,NOSL,0,PB_MKT,290,-24.14,-85.4,32.7,0.879,0.211482
PB,1.5,uwd78,NOSL,0,MKT_MKT,290,-27.64,-88.9,29.2,0.879,0.179449
PB,1.5,uwd78,TIME,12,PB_PB,290,-50.19,-98.9,-3.0,0.738,0.020124
PB,1.5,uwd78,TIME,12,PB_MKT,290,-57.69,-106.4,-10.5,0.738,0.009194
PB,1.5,uwd78,TIME,12,MKT_MKT,290,-61.19,-109.9,-14.0,0.738,0.006196
PB,1.5,uwd78,TIME,24,PB_PB,290,-41.62,-97.2,9.7,0.807,0.063554
PB,1.5,uwd78,TIME,24,PB_MKT,290,-49.12,-104.7,2.2,0.807,0.035886
PB,1.5,uwd78,TIME,24,MKT_MKT,290,-52.62,-108.2,-1.3,0.807,0.026874
PB,1.5,uwd78,TIME,48,PB_PB,290,-16.64,-77.9,40.2,0.879,0.290358
PB,1.5,uwd78,TIME,48,PB_MKT,290,-24.14,-85.4,32.7,0.879,0.211482
PB,1.5,uwd78,TIME,48,MKT_MKT,290,-27.64,-88.9,29.2,0.879,0.179449
PB,1.5,uwd79,NOSL,0,PB_PB,519,7.29,-35.4,48.1,0.881,0.731927
PB,1.5,uwd79,NOSL,0,PB_MKT,519,-0.21,-42.9,40.6,0.881,0.49607
PB,1.5,uwd79,NOSL,0,MKT_MKT,519,-3.71,-46.4,37.1,0.881,0.430811
PB,1.5,uwd79,TIME,12,PB_PB,519,-28.16,-62.0,4.9,0.738,0.049434
PB,1.5,uwd79,TIME,12,PB_MKT,519,-35.66,-69.5,-2.6,0.738,0.018316
PB,1.5,uwd79,TIME,12,MKT_MKT,519,-39.16,-73.0,-6.1,0.738,0.010868
PB,1.5,uwd79,TIME,24,PB_PB,519,-23.21,-63.3,16.1,0.813,0.125695
PB,1.5,uwd79,TIME,24,PB_MKT,519,-30.71,-70.8,8.6,0.813,0.064565
PB,1.5,uwd79,TIME,24,MKT_MKT,519,-34.21,-74.3,5.1,0.813,0.045469
PB,1.5,uwd79,TIME,48,PB_PB,519,7.29,-35.4,48.1,0.881,0.731927
PB,1.5,uwd79,TIME,48,PB_MKT,519,-0.21,-42.9,40.6,0.881,0.49607
PB,1.5,uwd79,TIME,48,MKT_MKT,519,-3.71,-46.4,37.1,0.881,0.430811
