trade_id,row,symbol,tf,name,signal_time_ms,entry_time_ms,entry_price,tp_price,sl_price,exit_time_ms,exit_price,exit_reason,hold_hours,gross_bps,stake,pnl_cash,exit_equity,skipped,signal_time_utc,entry_time_utc,exit_time_utc 
464,E2,BTCUSDT,30m,W1_NODIP,1735165800000,1735167600000,98781.2,99220.25,,1735167600000,99220.25,TP,0.0,29.446716581698027,166.25,0.48955166317072973,665.4905684668961,False,2024-12-25 22:30:00,2024-12-25 23:00:00,2024-12-25 23:00:00
465,E2,BTCUSDT,30m,W1_NODIP,1735167600000,1735169400000,99105.0,99577.5,,1735171200000,99577.5,TP,0.5,32.67670652338429,166.37,0.5436423664295444,666.0342108333257,False,2024-12-25 23:00:00,2024-12-25 23:30:00,2024-12-26 00:00:00
466,E1,SOLUSDT,30m,W2_NODIP,1735171200000,1735173000000,197.71,200.62,,1735518600000,192.14,TIMEOUT,96.0,-296.7257599514451,166.51,-4.940780628951512,636.9974435952589,False,2024-12-26 00:00:00,2024-12-26 00:30:00,2024-12-30 00:30:00
467,E3,ETHUSDT,1h,W2_NODIP,1735171200000,1735174800000,3481.18,3523.6150000000002,,1735520400000,3419.9,SKIPPED_MAXOPEN,96.0,-191.03226492166377,0.0,0.0,499.5242108333257,True,2024-12-26 00:00:00,2024-12-26 01:00:00,2024-12-30 01:00:00
468,E1,SOLUSDT,30m,W2_NODIP,1735174800000,1735176600000,197.0,198.59,,1735178400000,198.59,SKIPPED_MAXOPEN,0.5,65.71065989847733,0.0,0.0,499.5242108333257,True,2024-12-26 01:00:00,2024-12-26 01:30:00,2024-12-26 02:00:00
469,E4,SOLUSDT,4h,W3_NODIP,1735171200000,1735185600000,196.49,200.765,,1735531200000,192.28,SKIPPED_MAXOPEN,96.0,-229.2602676981021,0.0,0.0,499.5242108333257,True,2024-12-26 00:00:00,2024-12-26 04:00:00,2024-12-30 04:00:00
470,E1,SOLUSDT,30m,W2_NODIP,1735203600000,1735205400000,189.43,190.735,,1735212600000,190.735,SKIPPED_MAXOPEN,2.0,53.89088317584367,0.0,0.0,499.5242108333257,True,2024-12-26 09:00:00,2024-12-26 09:30:00,2024-12-26 11:30:00
471,E2,BTCUSDT,30m,W1_NODIP,1735209000000,1735210800000,95459.7,95863.45,,1735212600000,95863.45,SKIPPED_MAXOPEN,0.5,27.295335099523676,0.0,0.0,499.5242108333257,True,2024-12-26 10:30:00,2024-12-26 11:00:00,2024-12-26 11:30:00
472,E1,SOLUSDT,30m,W2_NODIP,1735212600000,1735214400000,189.71,191.47999999999996,,1735290000000,191.47999999999996,SKIPPED_MAXOPEN,21.0,78.30030045859225,0.0,0.0,499.5242108333257,True,2024-12-26 11:30:00,2024-12-26 12:00:00,2024-12-27 09:00:00
473,E2,BTCUSDT,30m,W1_NODIP,1735221600000,1735223400000,95752.3,96484.75,,1735228800000,96484.75,SKIPPED_MAXOPEN,1.5,61.4942460912163,0.0,0.0,499.5242108333257,True,2024-12-26 14:00:00,2024-12-26 14:30:00,2024-12-26 16:00:00
474,E1,SOLUSDT,30m,W2_NODIP,1735221600000,1735223400000,189.15,190.635,,1735228800000,190.635,SKIPPED_MAXOPEN,1.5,63.50911974623237,0.0,0.0,499.5242108333257,True,2024-12-26 14:00:00,2024-12-26 14:30:00,2024-12-26 16:00:00
475,E3,ETHUSDT,1h,W2_NODIP,1735225200000,1735228800000,3342.32,3367.625,,1735261200000,3367.625,SKIPPED_MAXOPEN,9.0,60.71088345819621,0.0,0.0,499.5242108333257,True,2024-12-26 15:00:00,2024-12-26 16:00:00,2024-12-27 01:00:00
476,E2,BTCUSDT,30m,W1_NODIP,1735228800000,1735230600000,95874.8,96758.19999999998,,1735290000000,96758.19999999998,SKIPPED_MAXOPEN,16.5,77.14100055488821,0.0,0.0,499.5242108333257,True,2024-12-26 16:00:00,2024-12-26 16:30:00,2024-12-27 09:00:00
