series,cond,entry,f,sl,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,pf,sig_maker
SOLUSDT-15m,C6_w9dip,PB,1.5,low,2825,-11.2,-4.2,-6.3,-1.7,0.128,0.98,False
SOLUSDT-15m,CQ7_w78q,PB,1.5,low,1904,-11.91,-4.91,-6.2,-3.6,0.199,0.9,False
SOLUSDT-15m,ALL,PB,1.5,mid,11944,-12.02,-5.02,-5.5,-4.5,0.076,0.82,False
SOLUSDT-15m,quiet,PB,1.5,mid,4990,-11.78,-4.78,-5.3,-4.3,0.08,0.83,False
SOLUSDT-15m,uwd78,PB,1.5,mid,4597,-11.93,-4.93,-5.7,-4.2,0.106,0.87,False
SOLUSDT-15m,uwd79,PB,1.5,mid,8205,-11.96,-4.96,-5.6,-4.3,0.093,0.85,False
SOLUSDT-15m,prevBear,PB,1.5,mid,5775,-11.83,-4.83,-5.5,-4.2,0.082,0.85,False
SOLUSDT-15m,smaBelow,PB,1.5,mid,5065,-11.91,-4.91,-5.8,-3.9,0.085,0.85,False
SOLUSDT-15m,C3_w8q,PB,1.5,mid,4531,-11.9,-4.9,-5.4,-4.4,0.074,0.8,False
SOLUSDT-15m,C6_w9dip,PB,1.5,mid,2825,-11.35,-4.35,-5.7,-2.7,0.069,0.94,False
SOLUSDT-15m,CQ7_w78q,PB,1.5,mid,1904,-11.7,-4.7,-5.6,-3.8,0.112,0.87,False
SOLUSDT-30m,ALL,MKT,1.0,low,6817,-23.4,-16.4,-18.5,-14.4,0.431,0.64,False
SOLUSDT-30m,quiet,MKT,1.0,low,2764,-22.13,-15.13,-17.2,-13.2,0.433,0.58,False
SOLUSDT-30m,uwd78,MKT,1.0,low,2728,-26.24,-19.24,-22.0,-16.5,0.486,0.57,False
SOLUSDT-30m,uwd79,MKT,1.0,low,4772,-25.76,-18.76,-21.2,-16.4,0.462,0.59,False
SOLUSDT-30m,prevBear,MKT,1.0,low,3255,-25.44,-18.44,-21.1,-15.7,0.439,0.58,False
