series,cond,entry,f,exit,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,sig_maker
SOLUSDT-15m,ALL,MKT,1.0,mid,13537,-19.88,-12.88,-13.9,-11.8,0.402,False
SOLUSDT-15m,quiet,MKT,1.0,mid,5502,-20.45,-13.45,-14.5,-12.3,0.389,False
SOLUSDT-15m,uwd78,MKT,1.0,mid,5420,-21.2,-14.2,-15.6,-12.8,0.463,False
SOLUSDT-15m,uwd79,MKT,1.0,mid,9476,-20.81,-13.81,-14.9,-12.6,0.432,False
SOLUSDT-15m,prevBear,MKT,1.0,mid,6572,-19.04,-12.04,-13.6,-10.5,0.422,False
SOLUSDT-15m,smaBelow,MKT,1.0,mid,5727,-19.2,-12.2,-14.0,-10.3,0.418,False
SOLUSDT-15m,C3_w8q,MKT,1.0,mid,4963,-20.38,-13.38,-14.6,-12.2,0.382,False
SOLUSDT-15m,C6_w9dip,MKT,1.0,mid,3109,-18.68,-11.68,-14.5,-8.7,0.382,False
SOLUSDT-15m,CQ7_w78q,MKT,1.0,mid,2153,-21.7,-14.7,-16.3,-13.2,0.432,False
SOLUSDT-15m,ALL,MKT,1.0,NOSL,13537,-13.6,-6.6,-9.3,-4.0,0.898,False
SOLUSDT-15m,quiet,MKT,1.0,NOSL,5502,-10.86,-3.86,-7.1,-0.8,0.929,False
SOLUSDT-15m,uwd78,MKT,1.0,NOSL,5420,-11.8,-4.8,-8.2,-1.6,0.917,False
SOLUSDT-15m,uwd79,MKT,1.0,NOSL,9476,-14.43,-7.43,-10.4,-4.5,0.905,False
SOLUSDT-15m,prevBear,MKT,1.0,NOSL,6572,-13.52,-6.52,-10.9,-2.3,0.907,False
SOLUSDT-15m,smaBelow,MKT,1.0,NOSL,5727,-11.21,-4.21,-9.2,0.4,0.916,False
SOLUSDT-15m,C3_w8q,MKT,1.0,NOSL,4963,-11.06,-4.06,-7.6,-0.7,0.927,False
SOLUSDT-15m,C6_w9dip,MKT,1.0,NOSL,3109,-9.67,-2.67,-10.1,4.4,0.904,False
SOLUSDT-15m,CQ7_w78q,MKT,1.0,NOSL,2153,-10.3,-3.3,-7.3,0.2,0.94,False
SOLUSDT-15m,ALL,MKT,1.5,low,13537,-16.35,-9.35,-10.6,-7.9,0.396,False
SOLUSDT-15m,quiet,MKT,1.5,low,5502,-16.93,-9.93,-11.3,-8.6,0.399,False
SOLUSDT-15m,uwd78,MKT,1.5,low,5420,-17.91,-10.91,-12.6,-9.2,0.467,False
SOLUSDT-15m,uwd79,MKT,1.5,low,9476,-17.38,-10.38,-11.7,-8.9,0.434,False
SOLUSDT-15m,prevBear,MKT,1.5,low,6572,-15.2,-8.2,-10.2,-6.1,0.416,False
SOLUSDT-15m,smaBelow,MKT,1.5,low,5727,-15.3,-8.3,-10.6,-5.9,0.416,False
