row,feature,family,n0,n_defined,n_L,n_W,p_feat_L,p_feat_W,lift,delta_pp,p_two_prop,bh_sig,n_drop,n_keep,n_keep_pct,losers_dropped,winners_dropped,loser_cut_pct,winner_cut_pct,collateral,wr_keep,wr_delta_pp,net_keep,net_delta_bps,maxdd_keep,ci_lo_keep,ci_hi_keep,cut50,disc,notes
E3,rr_and_rvol_ge_2_0,combo,2215,2207,38,128,0.1218,0.0675,1.803,5.4,0.000761,True,166,2049,92.5,38,128,12.2,6.7,0.552,86.6,-0.1,19.81,-0.61,3.2,8.14,31.3,False,False,
E3,event_red_and_rvol_ge_2_0,combo,2215,2207,87,317,0.2788,0.1673,1.667,11.2,2e-06,True,404,1811,81.8,87,317,27.9,16.7,0.597,87.6,0.8,15.95,-4.48,3.2,2.61,28.43,False,True,
E3,event_red_and_rvol_ge_1_3,combo,2215,2207,126,519,0.4038,0.2739,1.475,13.0,3e-06,True,645,1570,70.9,126,519,40.4,27.3,0.675,88.2,1.4,17.69,-2.74,3.1,4.16,30.67,False,False,
E3,event_red_and_rvol_top_q,combo,2215,2207,50,118,0.1603,0.0623,2.574,9.8,0.0,True,168,2047,92.4,50,118,16.0,6.2,0.387,87.2,0.4,19.78,-0.64,3.4,7.85,31.34,False,True,
E4,event_red,color,1470,1470,189,452,0.5642,0.3982,1.417,16.6,0.0,True,641,829,56.4,189,452,56.4,39.8,0.706,82.4,3.4,70.55,21.83,2.2,39.69,100.69,False,False,
E4,event_green,color,1470,1470,146,679,0.4358,0.5982,0.729,-16.2,0.0,True,825,645,43.9,146,679,43.6,59.8,1.373,70.7,-8.3,21.71,-27.01,5.9,-32.38,76.65,False,False,
E4,prev_red,color,1470,1470,149,507,0.4448,0.4467,0.996,-0.2,0.950471,False,656,814,55.4,149,507,44.5,44.7,1.004,77.1,-1.8,59.39,10.68,3.3,19.99,96.59,False,False,
E4,prev_green,color,1470,1470,186,626,0.5552,0.5515,1.007,0.4,0.905204,False,812,658,44.8,186,626,55.5,55.2,0.993,77.4,-1.6,37.82,-10.9,4.4,-12.74,85.66,False,False,
E4,rr,color,1470,1470,89,195,0.2657,0.1718,1.546,9.4,0.000131,True,284,1186,80.7,89,195,26.6,17.2,0.647,79.3,0.3,61.94,13.23,4.8,31.93,92.08,False,True,
E4,rg,color,1470,1470,100,256,0.2985,0.2256,1.323,7.3,0.006164,True,356,1114,75.8,100,256,29.9,22.6,0.756,78.9,-0.1,51.11,2.39,4.5,18.49,83.54,False,False,
E4,gr,color,1470,1470,60,310,0.1791,0.2731,0.656,-9.4,0.000493,True,370,1100,74.8,60,310,17.9,27.3,1.525,75.0,-4.0,42.69,-6.02,6.0,7.71,78.31,False,False,
E4,gg,color,1470,1470,86,368,0.2567,0.3242,0.792,-6.8,0.018768,True,454,1016,69.1,86,368,25.7,32.4,1.263,75.5,-3.5,39.34,-9.38,7.4,0.83,75.74,False,False,
E4,rvol_ge_1_3,volume,1470,1466,176,499,0.5269,0.4408,1.195,8.6,0.005517,True,675,795,54.1,176,499,52.5,44.0,0.837,80.0,1.0,42.5,-6.22,3.4,9.26,74.38,False,False,
E4,rvol_ge_2_0,volume,1470,1466,93,224,0.2784,0.1979,1.407,8.1,0.001674,True,317,1153,78.4,93,224,27.8,19.7,0.711,79.0,0.0,45.12,-3.59,4.5,17.11,72.91,False,False,
E4,rvol_top_q,volume,1470,1466,90,204,0.2695,0.1802,1.495,8.9,0.000344,True,294,1176,80.0,90,204,26.9,18.0,0.669,79.2,0.2,48.5,-0.22,4.1,22.33,76.65,False,False,
E4,prev_rvol_ge_2_0,volume,1470,1466,46,200,0.1377,0.1767,0.78,-3.9,0.094122,False,246,1224,83.3,46,200,13.7,17.6,1.283,76.4,-2.6,36.7,-12.01,5.3,7.59,65.61,False,False,
E4,event_vol_gt_prev,volume,1470,1470,222,616,0.6627,0.5427,1.221,12.0,9.7e-05,True,838,632,43.0,222,616,66.3,54.3,0.819,82.1,3.1,73.98,25.27,2.7,33.74,113.5,False,False,
E4,rr_and_rvol_ge_2_0,combo,1470,1466,23,38,0.0689,0.0336,2.051,3.5,0.004536,True,61,1409,95.9,23,38,6.9,3.3,0.488,77.9,-1.1,48.5,-0.22,6.8,19.95,76.32,False,False,
E4,event_red_and_rvol_ge_2_0,combo,1470,1466,48,80,0.1437,0.0707,2.034,7.3,3.2e-05,True,128,1342,91.3,48,80,14.3,7.0,0.492,78.6,-0.4,50.36,1.64,5.3,21.76,79.33,False,False,
E4,event_red_and_rvol_ge_1_3,combo,1470,1466,100,184,0.2994,0.1625,1.842,13.7,0.0,True,284,1186,80.7,100,184,29.9,16.2,0.543,80.2,1.2,57.91,9.19,4.2,30.8,83.74,False,True,
E4,event_red_and_rvol_top_q,combo,1470,1466,46,72,0.1377,0.0636,2.165,7.4,1.2e-05,True,118,1352,92.0,46,72,13.7,6.3,0.462,78.6,-0.4,51.34,2.63,5.3,24.05,77.91,False,False,
